index,job,sector,sex,2015,2016,2017
,,,Females,,43200,43300
2521,Database designers and administrators,private sector and public enterprises,Males,53900,54500,55760
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
2522,Systems administrators,private sector and public enterprises,Males,53800,53200,55030
,,,Females,47300,46700,49510
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
2529,Database and network professionals not elsewhere classified,private sector and public enterprises,Males,57700,58200,60070
,,,Females,55100,55100,56790
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
2611,Lawyers,private sector and public enterprises,Males,71800,73300,74680
,,,Females,60300,61100,63520
,,local government,Males,,,63630
,,,Females,57800,58400,58040
,,central government,Males,53100,55600,57200
,,,Females,50000,51600,52960
2612,Judges,private sector and public enterprises,Males,,,
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,75500,78900,80770
,,,Females,68600,71400,74150
2619,Legal professionals not elsewhere classified,private sector and public enterprises,Males,71600,72000,72720
,,,Females,59700,59900,62000
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,43900,,
2621,Archivists and curators,private sector and public enterprises,Males,,,
,,,Females,,,
,,local government,Males,43200,43400,44370
,,,Females,40600,41500,42690
,,central government,Males,43800,45500,46800
,,,Females,41400,41800,43790
2622,Librarians and related information professionals,private sector and public enterprises,Males,,,
,,,Females,41900,42300,42640
,,local government,Males,38000,38400,39340
,,,Females,38000,39300,40000
,,central government,Males,38000,39000,40090
,,,Females,39400,40000,40910
2631,Economics,private sector and public enterprises,Males,75300,76600,78310
,,,Females,62500,61900,61920
,,local government,Males,48500,50200,51070
,,,Females,46000,46400,48160
,,central government,Males,,,
,,,Females,,,
2632,"Sociologists, anthropologists and related professionals",private sector and public enterprises,Males,53700,54800,58430
,,,Females,49000,50500,53120
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
2633,"Philosophers, historians and political scientists",private sector and public enterprises,Males,,,
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
2634,Psychologists,private sector and public enterprises,Males,54000,55700,58080
,,,Females,50400,51400,52440
,,local government,Males,48100,48900,50510
,,,Females,45000,45800,47270
,,central government,Males,52200,52800,54900
,,,Females,48600,49100,51550
2635,Social work and counselling professionals,private sector and public enterprises,Males,40600,42000,43690
,,,Females,40300,41600,42980
,,local government,Males,40000,41100,42400
,,,Females,37700,38600,39830
,,central government,Males,42900,44400,44610
,,,Females,41500,42600,43720
2636,Religious professionals,private sector and public enterprises,Males,42100,42000,43260
,,,Females,,,
,,local government,Males,,,
,,,Females,40500,40200,42470
,,central government,Males,51800,52500,54150
,,,Females,49100,50000,51970
2641,Authors and related writers,private sector and public enterprises,Males,51900,54000,55470
,,,Females,47500,49400,50350
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
2642,Journalists,private sector and public enterprises,Males,48300,49300,50460
,,,Females,44400,45500,46880
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
